ID,Male,WordsPerDay
1,1,23871
2,1,5180
3,1,9951
4,1,12460
5,1,17155
6,1,10344
7,1,9811
8,1,12387
9,1,29920
10,1,21791
11,1,9789
12,1,31127
13,1,8572
14,1,6942
15,1,2539
16,1,36345
17,1,6858
18,1,24024
19,1,5488
20,1,9960
21,1,11118
22,1,4970
23,1,10710
24,1,15011
25,1,1569
26,1,23794
27,1,23689
28,1,11769
29,1,26846
30,1,17386
31,1,7987
32,1,25638
33,1,695
34,1,2366
35,1,16075
36,1,16789
37,1,9308
38,0,16109
39,0,10592
40,0,24608
41,0,13739
42,0,22376
43,0,9351
44,0,7694
45,0,16812
46,0,21066
47,0,32291
48,0,12320
49,0,19839
50,0,22018
51,0,16624
52,0,5139
53,0,17384
54,0,17740
55,0,7309
56,0,14699
57,0,21450
58,0,14602
59,0,18360
60,0,12345
61,0,17379
62,0,14394
63,0,11907
64,0,8319
65,0,16046
66,0,5112
67,0,8034
68,0,7845
69,0,7796
70,0,20910
71,0,8756
72,0,5683
73,0,8372
74,0,17191
75,0,8380
76,0,16741
77,0,16417
78,0,2363
79,0,24349
